id	name	tradition	old_domain	new_domain	new_edges_ids	new_edges_names	new_identifications	skipped
7227	Abraxas	Gnostic	a cosmic ruler-name of the Gnostic systems, especially associated with Basilides; name whose Greek letters sum to 365, denoting the ruler of the 365 heavens; widely inscribed on protective gems	cosmic ruler, protection, magic			Basilides	
7212	Acintya	Balinese	supreme god of Balinese Hinduism; 'Unimaginable' or 'Inconceivable'; formless absolute from whom all the other gods emanate	supreme deity, creation, wisdom, spirituality	6759	Shiva	Brahman	
7460	Aesculapius	Roman	medicine, healing; identified with Greek Asclepius; brought to Rome in 293 BCE from Epidaurus in serpent-form to stop a plague	medicine, healing				
7229	Agdistis	Phrygian	a primordial Phrygian daemon of dual sex, born of the seed of Zeus fallen on the earth/the rock Agdos; wild, untameable being from whose castration the almond-tree ultimately springs	fertility, wildness, magic	6689|6781	Cybele|Attis		
7339	Allah	Abrahamic	the One God of Islam, creator, most merciful, source of revelation, only deity; identified with the God of the Hebrew Bible and Christianity per Islamic theology	creation, mercy, revelation, justice			Yahweh|God	
7224	Amitabha	Buddhist	the Buddha of Infinite Light; celestial Buddha presiding over Sukhavati, the Western Pure Land; central figure of Pure Land Buddhism	light, pure land, buddhism, meditation				
7403	Ammit	Egyptian	soul-devourer; annihilator of the unjustified dead; standing at the scales in the Judgment-Hall of Osiris to eat the hearts that weigh heavier than Ma'at's feather; second death	death, justice, underworld				
7292	Anshar	Mesopotamian	upper firmament/whole-sky; second-generation primordial; later identified with Ashshur in Assyrian recension	sky, creation, kingship				
7296	Anu	Mesopotamian	sky, kingship of heaven, supreme high god of the An-Anum lists, fate-determining authority, constellations	sky, kingship, fate, constellations	7297	Enlil	Ellil	Anu
7401	Anubis	Egyptian	embalming, mummification, dead, necropolis, weighing of the heart, opening of the mouth ceremony, underworld jackals - 'lord of the sacred land', 'foremost of the westerners'; psychopomp	embalming, mummification, underworld, death, psychopomp	7223	Yama	Anpu	
