id	name	old_domain	new_domain	trigger	edges_kept	ids_kept	edges_rejected	ids_rejected
7227	Abraxas	a cosmic ruler-name of the Gnostic systems, especially associated with Basilides	cosmic ruler, protection, magic	N				Basilides
7212	Acintya	supreme god of Balinese Hinduism; 'Unimaginable' or 'Inconceivable'; formless ab	supreme deity, creation, wisdom, spirituality	N			Shiva	Brahman
7460	Aesculapius	medicine, healing; identified with Greek Asclepius; brought to Rome in 293 BCE f	medicine, healing	Y				
7229	Agdistis	a primordial Phrygian daemon of dual sex, born of the seed of Zeus fallen on the	fertility, wildness, magic	N			Cybele|Attis	
7339	Allah	the One God of Islam, creator, most merciful, source of revelation, only deity; 	creation, mercy, revelation, justice	Y		Yahweh|God		
7224	Amitabha	the Buddha of Infinite Light; celestial Buddha presiding over Sukhavati, the Wes	light, pure land, buddhism, meditation	N				
7403	Ammit	soul-devourer; annihilator of the unjustified dead; standing at the scales in th	death, justice, underworld	N				
7292	Anshar	upper firmament/whole-sky; second-generation primordial; later identified with A	sky, creation, kingship	Y				
7296	Anu	sky, kingship of heaven, supreme high god of the An-Anum lists, fate-determining	sky, kingship, fate, constellations	N			Enlil	Ellil
7401	Anubis	embalming, mummification, dead, necropolis, weighing of the heart, opening of th	embalming, mummification, underworld, death, psychopomp	N			Yama	Anpu
7205	Anunnaki	collective of major Mesopotamian gods. In Sumerian usage often the gods of the u	gods, underworld, kingship, magic, fertility	N			Enlil|Marduk	Ea
7402	Apep	cosmic serpent of chaos; eternal adversary of Ra; embodiment of isfet opposing M	chaos, night, renewal	N				
7311	Asalluhi	incantation, magic, healing-via-spell, intercessor between Enki and the sufferin	magic, healing, intercession	Y				
7343	Asmodeus	demon of lust and marriage-disrupting; in Tobit kills Sarah's seven husbands; in	lust, marriage	N				
6760	Astarte	love, war, royalty, morning and evening star, kingship-conferring, fertility - c	love, war, royalty, fertility, kingship	N			Ishtar|Inanna	
